車次,站點1,站點2,站點3,站點4,站點5,站點6,站點7,站點8,站點9,站點10,站點11,站點12,站點13,站點14,站點15,站點16,站點17,站點18,站點19,站點20,站點21,站點22,站點23,站點24,站點25,站點26,站點27,站點28,站點29,站點30,站點31,站點32,站點33,站點34,站點35,站點36,站點37,站點38,站點39,站點40,站點41,站點42,站點43,站點44,站點45,站點46,站點47,站點48,站點49,站點50,站點51,站點52,站點53,站點54,站點55,站點56,站點57,站點58,站點59,站點60,站點61,站點62,站點63,站點64,站點65,站點66,站點67,站點68,站點69,站點70,站點71,站點72,站點73,站點74,站點75,站點76,站點77,站點78,站點79,站點80,站點81,站點82,站點83,站點84,站點85,站點86,站點87,站點88,站點89,站點90,站點91,站點92,站點93,站點94,站點95,站點96,站點97,站點98,站點99,站點100,站點101,站點102,站點103,站點104,站點105,站點106,站點107,站點108,站點109,站點110,站點111,站點112,站點113,站點114,站點115,站點116,站點117,站點118,站點119,站點120,站點121,站點122,站點123,站點124,站點125,站點126,站點127,站點128,站點129,站點130,站點131,站點132,站點133,站點134,站點135,站點136,站點137,站點138,站點139,站點140,站點141,站點142,站點143,站點144,站點145,站點146,站點147,站點148,站點149,站點150,站點151,站點152,站點153,站點154,站點155,站點156,站點157,站點158
5060,桃客總站,建國國小,桃園婦女館,延平路口,福豐國中,旭登護理之家,德豐街口,桃園監理站,利台,力行街口,無線電台,小大湳,忠勇西街站(G05),廣豐新天地,陸光四村,大湳站(G04),瑞祥社區,鴻昌社區,麻園站(G03),梅花社區,欣桃社區,松柏園,瑞豐國小(桃園防災教育館),瑞發家園,興豐路口,家榮社區,國防大學,榮民安養中心,榮民之家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5061,桃花園飯店,統領百貨,中山南華街口,中山三民路口,中山育樂街口,桃園市政府,土地改革館,正光法治路口,向陽運動公園,桃園市政府消防局,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安北路,埔子,中埔國小,星見橋,十三號坡,三和公司,八角店(開南大學),富吉,八股坡,宏邦大鎮,上大竹,大竹,綠園新村,蕭厝,大坡腳,嘉綠墅社區,大竹宏竹路口,葉厝,宏竹宏華路口,建國十九村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5063,桃園火車站,萬壽山鶯路口,青果中心,頂興路口,拔仔埔,陸光二村,萬壽中興路口,龜山,龜山國中,千禧新城,陸光三村,精忠五村,楓樹社區,宏洲公司,洪厝,卓厝,楓樹林,楓樹坑,上楓樹林,上卓厝,光華坑,中湖,下湖,大崗,警察大學,頂湖,新世紀,大崗郵局,大湖,坪頂,大湖紀念公園,忠義路口,復興街,公西,捷運林口站(龜山一路),華夏飯店,醫學大樓,長庚醫院,崇林國中,林口國宅,林口國中,馥都社區,東湖頭,湖南里,頭湖路口,林口農會,中山路口,林口,醒吾科技大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5065,桃客總站,聖保祿醫院,建國路口,復興中正路口(桃園火車站),復興橋,東山里,萬壽山鶯路口,青果中心,頂興路口,拔仔埔,陸光二村,萬壽中興路口,龜山,壽山,地磅,半嶺,龍廷社區,水源地,裕元紡織,儲水池,舊路坑,中央造幣廠,舊路橋,北天宮,集會地,陳厝,西勢湖,大埔橋,大埔國小,振天宮,大埔,工三工業區,捷運體育大學站,國立體育大學志清湖,體育大學行政教學大樓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5068,桃客總站,聖保祿醫院,建國路口,桃花園飯店,復興中正路口(桃園火車站),復興橋,東山里,萬壽山鶯路口,青果中心,頂興路口,拔仔埔,陸光二村,萬壽中興路口,龜山,壽山高中,覺海院,大同新村,德明路口,下社,台森公司,合家歡社區,白馬社區,大丘田,中華窯業,福源國小,石雲岩,石雲寺,詹厝,中一堂,圓光橋,福山宮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5069,今日飯店,民生成功路口,關帝廟,鴻福寺,北門口,北門新村,臺灣菸酒公司,北門國小,文昌國中,瓦斯公司,大興路口,永吉新村,新埔國宅,春日健行路口,鹽庫西街口,水汴頭,許厝,煉油廠,加油站,甘蔗園橋,力捷公司,南上里,甘蔗園,頂南崁,大同公司,蘆竹區公所,南崁市場,南山路口,電通市,蘆竹郵局,南山六福,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,大利新村,山腳,源昇公司,公溝,聯邦公司,家畜市場,下外社,外社,外社國小,草仔崎,偉辰公司,頂社,社口,上頂社,第一水上樂園,崎腳,炭窯,赤塗崎,茶工廠,第一高球場,崎頂,井仔厝,光裕,南勢國小,南勢埔,城市之洲社區,文三忠孝路口,扶輪公園,世貿芳鄰,空間樂園社區,台北新都,林口國中,馥都社區,東湖頭,湖南里,頭湖路口,林口農會,林口,醒吾科技大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071,今日飯店,民生成功路口,關帝廟,鴻福寺,北門口,北門新村,臺灣菸酒公司,北門國小,文昌國中,瓦斯公司,大興路口,永吉新村,新埔國宅,春日健行路口,鹽庫西街口,水汴頭,許厝,煉油廠,加油站,甘蔗園橋,力捷公司,南上里,甘蔗園,頂南崁,大同公司,蘆竹區公所,南崁市場,南山路口,電通市,蘆竹郵局,南山六福,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,大利新村,山腳,源昇公司,公溝,聯邦公司,家畜市場,下外社,外社,外社國小,草仔崎,偉辰公司,頂社,玉記商店,頂社國小,山林路三段,公田,貓尾崎腳,曾厝,土地公口,貓尾崎,愛民,崎頂,井仔厝,光裕,南勢國小,南勢埔,城市之洲社區,文三忠孝路口,扶輪公園,世貿芳鄰,空間樂園社區,台北新都,林口國中,馥都社區,東湖頭,湖南里,台北新境,林口農會,林口,醒吾科技大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071A,今日飯店,民生成功路口,關帝廟,鴻福寺,北門口,北門新村,臺灣菸酒公司,北門國小,文昌國中,瓦斯公司,大興路口,永吉新村,新埔國宅,春日健行路口,鹽庫西街口,水汴頭,許厝,煉油廠,加油站,甘蔗園橋,力捷公司,南上里,甘蔗園,頂南崁,大同公司,蘆竹區公所,南崁市場,南山路口,電通市,蘆竹郵局,南山六福,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,大利新村,山腳,源昇公司,公溝,聯邦公司,家畜市場,下外社,外社,外社國小,草仔崎,偉辰公司,頂社,玉記商店,頂社國小,山林路三段,公田,貓尾崎腳,曾厝,土地公口,貓尾崎,愛民,崎頂,井仔厝,光裕,南勢國小,光裕,井仔厝,崎頂,第一高球場,茶工廠,赤塗崎,炭窯,崎腳,第一水上樂園,上頂社,社口,頂社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071B,頂社,社口,上頂社,第一水上樂園,崎腳,炭窯,赤塗崎,茶工廠,第一高球場,崎頂,井仔厝,光裕,南勢國小,光裕,井仔厝,崎頂,愛民,貓尾崎,土地公口,曾厝,貓尾崎腳,公田,山林路三段,頂社國小,玉記商店,頂社,偉辰公司,草仔崎,外社國小,外社,下外社,家畜市場,聯邦公司,公溝,源昇公司,山腳,大利新村,捷運山鼻站,山鼻,群鹿公司,佑新公司,公埔,中崙公司,水泥公司,埔尾,內厝橋,南山長榮路口,南山六福,蘆竹郵局,電通市,南山路口,南崁市場,蘆竹區公所,大同公司,頂南崁,甘蔗園,南上里,力捷公司,甘蔗園橋,加油站,煉油廠,許厝,水汴頭,鹽庫西街口,春日健行路口,新埔國宅,永吉新村,大興路口,瓦斯公司,文昌國中,北門國小,臺灣菸酒公司,北門新村,北門口,鴻福寺,關帝廟,成功路,復興中正路口(桃園火車站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,今日飯店,關帝廟,鴻福寺,北門口,北門新村,臺灣菸酒公司,北門國小,文昌國中,瓦斯公司,大興路口,永吉新村,新埔國宅,春日健行路口,鹽庫西街口,水汴頭,許厝,煉油廠,加油站,甘蔗園橋,力捷公司,南上里,甘蔗園,頂南崁,大同公司,蘆竹區公所,南崁市場,南山路口,電通市,蘆竹郵局,南山六福,南山長榮路口,內厝橋,埔尾,水泥公司,中崙公司,公埔,佑新公司,群鹿公司,山鼻,捷運山鼻站,大利新村,山腳,源昇公司,公溝,聯邦公司,家畜市場,下外社,外社,外社國小,草仔崎,偉辰公司,頂社,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073A,頂社,偉辰公司,草仔崎,外社國小,外社,下外社,家畜市場,聯邦公司,公溝,源昇公司,海山路,山腳國中,海山路,山腳,大利新村,捷運山鼻站,山鼻,群鹿公司,佑新公司,公埔,中崙公司,水泥公司,埔尾,內厝橋,南山長榮路口,南山六福,蘆竹郵局,電通市,南山路口,南崁市場,蘆竹區公所,大同公司,頂南崁,甘蔗園,南上里,力捷公司,甘蔗園橋,加油站,煉油廠,許厝,水汴頭,鹽庫西街口,春日健行路口,新埔國宅,永吉新村,大興路口,瓦斯公司,文昌國中,北門國小,臺灣菸酒公司,北門新村,北門口,鴻福寺,關帝廟,成功路,復興中正路口(桃園火車站),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,中壢總站,第一銀行,第一市場,河川教育中心,舊社,新明路口,新明國中,居安新村,中壢高中,懷寧醫院(志廣路),三民,中央大學,潤泰公司,三座厝,三民里,崎頂,仁德新村,廣濟橋,都會族公司,水門,大路下,黃厝,五號坡,圓光寺,圓光佛學院,頂月眉,紅土墩,大稻埕,草席厝,草厝,柴梳崙,埔頂坡,草仔坡,李厝,劉厝,莊厝,溪海,崙頂,崙後坡,崙後,淨蓮寺,黃金城社區,敏盛醫院,大園舊站,大園車站,大園農會,橫峰,橫山橋,捷運大園站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5078,中壢總站,中壢監理站,新街,中壢聯合辦公大樓,中壢簡易庭,中園育樂街口,中園福州二街口,中福派出所,啟英高中,皇天宮,土地宮,大圳橋,萬能科技大學,賴厝,謝厝,大江購物中心,鄉界,寶城,上岡崎,岡崎,富榮,五福,五塊厝,五權國小,五權,五權牧場,龍樹坑,下埔,三塊厝,黃厝,大埔心,埔心國小,埔心,建國十一村,基地醫院,橋頭,陳康國小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5081,中壢總站,中央新生路口,SOGO二館,新明國小(明德路),柑園,捷運環北站,家興新村,下舊社,鄒家站,三座屋,六號坡,水圳頭,大丘田,農場,芝芭里,芭里國小,五號坡,領航南文德路口,青埔致遠一路口,高鐵桃園站,青埔國中,活動中心,八大坵,羅厝,洽溪,七號坡,流廊坡,下洽溪,埔頂,游厝,照鏡,王爺公,頂莊,頂崁腳,崁腳廟,淨蓮寺,黃金城社區,敏盛醫院,大園區公所,大園舊站,大園車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,中壢總站,第一銀行,第一市場,河川教育中心,舊社,新明路口,新明國中,居安新村,中壢高中,懷寧醫院(志廣路),三民,中央大學,潤泰公司,三座厝,三民里,崎頂,錩新公司,三宏,水圳頭,內厝里,大崙農會,大崙,大崙國中,中央塗料公司,山東路口,下鳥仔厝,鳥仔厝,雙圳口,黃厝,月眉,詹厝,紅崁,下月眉,邱厝,郭厝,雙叉港,崎頂路口,紅土厝,劉厝,合隆公司,雙溪口,王厝,溪洲,溪海國小,崙頂,崙後坡,崙後,淨蓮寺,黃金城社區,敏盛醫院,大園舊站,大園車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5083,捷運大園站,橫山橋,橫峰,大園農會,大園車站,保和中藥,永豐銀行,舒潔公司,華通公司,大同宿舍,鄭厝,內海社區,內海廟口,內海社區,鄭厝,許厝,崙腳,楊厝,汽電公司,潮音橋頭,潮音廟口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,捷運大園站,橫山橋,橫峰,大園農會,大園車站,保和中藥,北門口,工作站,湳仔,航空城聯合服務中心,頂圳股,戴厝,坡腳,李厝,陳厝,福德寺,頂古亭,海湖路口,圳頭厝,楊厝,呂厝,下古亭,萬善祠,海湖底,油庫港,苗圃橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5085,捷運大園站,橫山橋,橫峰,大園農會,大園車站,保和中藥,北門口,工作站,湳仔,航空城聯合服務中心,呂厝,大埔,後厝里,後厝社區,後厝國小,埔頂仔,坡腳,明門公司,下坡堵,沙崙廟,沙崙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,大園車站,大園農會,橫峰,橫山橋,海豐,快樂新村,埔心,埔心國小,大埔心,黃厝,三塊厝,下埔,龍樹坑,五權牧場,五權,五權國小,五塊厝,呂厝,李厝,郭祿五金,崎腳,大新路,華通公司,新庄村,廟前,胡厝,蘆竹親子館(大竹),大竹,上大竹,宏邦大鎮,八股坡,富吉,開南大學,水頭埤,八角店(開南大學),三和公司,十三號坡,星見橋,中埔國小,埔子,永安北路,南埔里活動中心,永安溫州街口,蓮華寺,力行路口,民安路口,九崁店,永安路口,博愛路口,民族路口,桃花園飯店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086A,大園車站,大園農會,橫峰,橫山橋,捷運大園站,海豐,快樂新村,埔心,埔心國小,大埔心,黃厝,三塊厝,下埔,龍樹坑,五權牧場,五權,五權國小,五塊厝,呂厝,李厝,郭祿五金,崎腳,大新路,華通公司,新庄村,廟前,胡厝,蘆竹親子館(大竹),大竹,上大竹,宏邦大鎮,八股坡,富吉,開南大學,水頭埤,八角店(開南大學),三和公司,十三號坡,星見橋,中埔國小,埔子,永安北路,南埔里活動中心,永安溫州街口,蓮華寺,力行路口,民安路口,九崁店,永安路口,博愛路口,民族路口,桃花園飯店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086B,桃花園飯店,桃園郵局,永和市場,成功國小,永安路口,九崁店,民安路口,力行路口,蓮華寺,永安溫州街口,南埔里活動中心,永安北路,埔子,中埔國小,星見橋,十三號坡,三和公司,八角店(開南大學),開南大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5087,中壢總站,中央新生路口,新生路口,中美路口,SOGO百貨(新生路),環北路口,變電所,興國里,公坡,興南國中,興南,六和紡織,六和機械,聖德基督學院,水圳頭,水尾,新宙,福安宮,頂青埔,青埔社區,廣天寺,青埔國小,中厝,高鐵桃園站,民生社區,三陽公司,慶皇公司,頂橫山,李厝,青埔花墅,橫山,大坡腳,下大坡腳,統帥社區,上湳子,湳子,尖山,頂南門,南門,大園車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5087A,中壢總站,中央西路,新生路,中美路口,元化路口,環北路口,變電所,興國里,公坡,興南國中,興南,六和紡織,六和機械,基督學院,水圳頭,水尾,新宙,福安宮,頂青埔,青埔社區,廣天寺,中厝,高鐵桃園站,大園高中,三陽公司,慶皇公司,頂橫山,李厝,青埔花墅,橫山,大坡腳,下大坡腳,統帥社區,上湳子,湳子,尖山,頂南門,南門,大園車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,中壢總站,中央新生路口,新生路口,中美路口,SOGO百貨(新生路),環北路口,變電所,興國里,公坡,興南國中,興南,六和紡織,六和機械,聖德基督學院,水圳頭,水尾,新宙,福安宮,頂青埔,青埔社區,廣天寺,青埔國小,中厝,高鐵桃園站,青昇二街口,大園國際高中,大成大智路口,三陽公司,慶皇公司,頂橫山,李厝,青埔花墅,橫山,大坡腳,下大坡腳,統帥社區,上湳子,湳子,尖山,頂南門,南門,大園車站,大園農會,橫峰,橫山橋,桃園機場第一航廈,桃園機場第二航廈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5090,桃客總站,聖保祿醫院,建國路,介壽建國路口,介壽保羅街口,桃園監理站,利台,力行街口,無線電台,小大湳,忠勇西街站(G05),廣豐新天地,陸光四村,大湳站(G04),瑞祥社區,鴻昌社區,麻園站(G03),梅花社區,欣桃社區,松柏園,瑞豐國小(桃園防災教育館),瑞發家園,更寮腳(介壽路),瑞祥,忠誠新村,僑愛基督長老教會,僑愛,僑愛國小,新光,松樹腳,大成社區,溫德爾幼稚園,長興,新麗公司,太武,崎頂,崎腳,觀音寺,新街尾,大溪總站,大溪站,三層崎腳,三層崎頂,埔心仔,三層,變電所,龍溪花園,福安國小,大溪陵寢,頭寮,草嶺腳,草嶺,慈湖,洞口,湳溝,曾厝,溪坪,百吉,保安,四號橋,新峰,水流東,三民,枕頭山口,圓山腳,圓山,圓山橋,枕頭山,檀林寺,三民橋,新村,水源地,介壽國中,角板山公園,復興站,成福路口,下霞雲坪,托兒所,霞雲坪,合流,復興橋,羅浮派出所,羅浮國小,活動中心,羅浮,羅浮口,斷匯,高坡,大彎,榮華分班,雪霧鬧,內奎輝,榮華,里安,高義,下蘇樂,蘇樂,巴陵橋,巴陵,下巴陵,谷點,中巴陵站,中巴陵,上巴陵,光明,拉拉山口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5091,中壢後站,中北路口,龍岡橋,健行科技大學,龍岡國小,中興莊,頂石頭,龍泉街口,馬祖新村,龍岡森林公園,游泳路口,伯公廟,龍江公寓,龍岡圓環,配銷中心,龍南路,忠貞國小,官路缺,大社區,建安家園,洪圳路口,霄裡池,金城家園,英業達,太平洋電纜,南興,元翔社區,保固,碧寶,埔頂廟,埔頂,建漢公司,崎頂,崎腳,觀音寺,新街尾,大溪總站,大溪站,三層崎腳,三層崎頂,埔心仔,三層,變電所,龍溪花園,福安國小,大溪陵寢,頭寮,草嶺腳,草嶺,慈湖,洞口,湳溝,曾厝,溪坪,百吉,保安,四號橋,新峰,水流東,三民,枕頭山口,圓山腳,圓山,圓山橋,枕頭山,檀林寺,三民橋,新村,水源地,介壽國中,角板山公園,復興站,成福路口,下霞雲坪,托兒所,霞雲坪,合流,復興橋,羅浮派出所,羅浮國小,活動中心,羅浮,羅浮口,斷匯,高坡,大彎,榮華分班,雪霧鬧,內奎輝,榮華,里安,高義,下蘇樂,蘇樂,巴陵橋,巴陵,下巴陵,谷點,中巴陵站,中巴陵,上巴陵,光明,拉拉山口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5093,大溪總站,大溪站,三層崎腳,三層崎頂,埔心仔,三層,變電所,龍溪花園,福安國小,大溪陵寢,頭寮,草嶺腳,草嶺,慈湖,洞口,湳溝,曾厝,溪坪,百吉,保安,四號橋,新峰,水流東,三民,枕頭山口,圓山腳,圓山,圓山橋,枕頭山,檀林寺,三民橋,新村,水源地,介壽國中,角板山公園,復興站,角板山公園,介壽國中,水源地,成福路口,下霞雲坪,托兒所,霞雲坪,合流,復興橋,羅浮派出所,羅浮國小,活動中心,羅浮,羅浮口,斷匯,高坡,大彎,榮華分班,雪霧鬧,內奎輝,榮華,里安,高義,下蘇樂,蘇樂,巴陵橋,巴陵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,大溪總站,大溪站,三層崎腳,三層崎頂,埔心仔,三層,變電所,龍溪花園,福安國小,大溪陵寢,頭寮,草嶺腳,草嶺,慈湖,洞口,湳溝,曾厝,溪坪,百吉,保安,四號橋,新峰,水流東,三民,枕頭山口,圓山腳,圓山,圓山橋,枕頭山,檀林寺,三民橋,新村,水源地,介壽國中,角板山公園,復興站,角板山公園,介壽國中,水源地,成福路口,下霞雲坪,托兒所,霞雲坪,合流,復興橋,羅浮派出所,羅浮國小,活動中心,羅浮,羅浮口,斷匯,高坡,大彎,榮華分班,雪霧鬧,內奎輝,榮華,里安,高義,下蘇樂,蘇樂,沙崙子,三光,巴陵橋,巴陵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096,桃客總站,聖保祿醫院,建國路,介壽建國路口,介壽保羅街口,桃園監理站,利台,力行街口,無線電台,小大湳,忠勇西街站(G05),廣豐新天地,陸光四村,大湳站(G04),瑞祥社區,鴻昌社區,麻園站(G03),梅花社區,欣桃社區,松柏園,瑞豐國小(桃園防災教育館),瑞發家園,更寮腳(介壽路),瑞祥,忠誠新村,僑愛基督長老教會,僑愛,僑愛國小,新光,松樹腳,大成社區,溫德爾幼稚園,長興,新麗公司,太武,崎頂,崎腳,觀音寺,新街尾,大溪總站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096A,大溪總站,新街尾,觀音寺,崎腳,金仙寺,崎頂,太武,新麗公司,長興,溫德爾幼稚園,大成社區,松樹腳,新光,僑愛國小,僑愛,僑愛基督長老教會,忠誠新村,瑞祥,更寮腳(介壽路),瑞發家園,瑞豐國小(桃園防災教育館),松柏園,欣桃社區,梅花社區,麻園站(G03),鴻昌社區,瑞祥社區,大湳站(G04),陸光四村,廣豐新天地,忠勇西街站(G05),小大湳,無線電台,力行街口,利台,桃園監理站,三民介壽路口,三民建國路口,南華街口,民族路口,建國路口,聖保祿醫院,桃客總站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5097,大溪總站,大溪站,三層崎腳,尾寮,美華國小,十全,台廣電台,林厝,小角廟,小角仔,紅瓦厝,下莉仔寮,莉仔寮,上莉仔寮,三層,變電所,龍溪花園,福安國小,大溪陵寢,頭寮,琪富,頭寮城,竹篙厝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5098,中壢後站,中北路口,龍岡橋,健行科技大學,龍岡國小,中興莊,頂石頭,龍泉街口,馬祖新村,龍岡森林公園,游泳路口,伯公廟,龍江公寓,龍岡圓環,配銷中心,龍南路,忠貞國小,官路缺,大社區,建安家園,洪圳路口,霄裡池,金城家園,英業達,太平洋電纜,南興,元翔社區,保固,碧寶,埔頂廟,埔頂,建漢公司,崎頂,崎腳,觀音寺,新街尾,大溪總站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,大溪總站,大溪站,三層崎腳,三層崎頂,埔心仔,三層,變電所,龍溪花園,福安國小,大溪陵寢,頭寮,草嶺腳,草嶺,慈湖,洞口,湳溝,內湳溝,承恩,承恩橋,溝尾,懷德橋,龍珠灣樂園,二層坪,溪坪,溪尾坪,苗圃,阿姆坪樂園,阿姆坪碼頭,阿姆坪舊碼頭,阿姆坪,舊路口,百吉國小,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
